symbol,name,broad_sector,micro_sector
SUNPHARMA,Sun Pharmaceutical Industries,Pharma & Healthcare,Pharma - Export Generics
DRREDDY,Dr. Reddy's Laboratories,Pharma & Healthcare,Pharma - Export Generics
LUPIN,Lupin,Pharma & Healthcare,Pharma - Export Generics
ZYDUSLIFE,Zydus Lifesciences,Pharma & Healthcare,Pharma - Export Generics
AUROPHARMA,Aurobindo Pharma,Pharma & Healthcare,Pharma - Export Generics
CIPLA,Cipla,Pharma & Healthcare,Pharma - Export Generics
GLENMARK,Glenmark Pharmaceuticals,Pharma & Healthcare,Pharma - Export Generics
NATCOPHARM,Natco Pharma,Pharma & Healthcare,Pharma - Export Generics
APLLTD,Alembic Pharmaceuticals,Pharma & Healthcare,Pharma - Export Generics
MARKSANS,Marksans Pharma,Pharma & Healthcare,Pharma - Export Generics
CAPLIPOINT,Caplin Point Laboratories,Pharma & Healthcare,Pharma - Export Generics
BIOCON,Biocon,Pharma & Healthcare,Pharma - Export Generics
STAR,Strides Pharma Science,Pharma & Healthcare,Pharma - Export Generics
MANKIND,Mankind Pharma,Pharma & Healthcare,Pharma - Domestic Formulations
TORNTPHARM,Torrent Pharmaceuticals,Pharma & Healthcare,Pharma - Domestic Formulations
ALKEM,Alkem Laboratories,Pharma & Healthcare,Pharma - Domestic Formulations
ABBOTINDIA,Abbott India,Pharma & Healthcare,Pharma - Domestic Formulations
ERIS,Eris Lifesciences,Pharma & Healthcare,Pharma - Domestic Formulations
GLAXO,GlaxoSmithKline Pharmaceuticals,Pharma & Healthcare,Pharma - Domestic Formulations
PFIZER,Pfizer,Pharma & Healthcare,Pharma - Domestic Formulations
SANOFI,Sanofi India,Pharma & Healthcare,Pharma - Domestic Formulations
AJANTPHARM,Ajanta Pharma,Pharma & Healthcare,Pharma - Domestic Formulations
IPCALAB,Ipca Laboratories,Pharma & Healthcare,Pharma - Domestic Formulations
INDOCO,Indoco Remedies,Pharma & Healthcare,Pharma - Domestic Formulations
FDC,FDC,Pharma & Healthcare,Pharma - Domestic Formulations
DIVISLAB,Divi's Laboratories,Pharma & Healthcare,CDMO & CRAMS
SYNGENE,Syngene International,Pharma & Healthcare,CDMO & CRAMS
LAURUSLABS,Laurus Labs,Pharma & Healthcare,CDMO & CRAMS
PPLPHARMA,Piramal Pharma,Pharma & Healthcare,CDMO & CRAMS
COHANCE,Cohance Lifesciences (formerly Suven Pharma),Pharma & Healthcare,CDMO & CRAMS
NEULANDLAB,Neuland Laboratories,Pharma & Healthcare,CDMO & CRAMS
JUBLPHARMA,Jubilant Pharmova,Pharma & Healthcare,CDMO & CRAMS
SAILIFE,Sai Life Sciences,Pharma & Healthcare,CDMO & CRAMS
GLAND,Gland Pharma,Pharma & Healthcare,CDMO & CRAMS
AKUMS,Akums Drugs and Pharmaceuticals,Pharma & Healthcare,CDMO & CRAMS
ONESOURCE,OneSource Specialty Pharma,Pharma & Healthcare,CDMO & CRAMS
AARTIDRUGS,Aarti Drugs,Pharma & Healthcare,Active Pharma Ingredients
SOLARA,Solara Active Pharma Sciences,Pharma & Healthcare,Active Pharma Ingredients
IOLCP,IOL Chemicals and Pharmaceuticals,Pharma & Healthcare,Active Pharma Ingredients
SMSPHARMA,SMS Pharmaceuticals,Pharma & Healthcare,Active Pharma Ingredients
ALIVUS,Alivus Life Sciences,Pharma & Healthcare,Active Pharma Ingredients
SHILPAMED,Shilpa Medicare,Pharma & Healthcare,Active Pharma Ingredients
GRANULES,Granules India,Pharma & Healthcare,Active Pharma Ingredients
SUPRIYA,Supriya Lifescience,Pharma & Healthcare,Active Pharma Ingredients
CONCORDBIO,Concord Biotech,Pharma & Healthcare,Active Pharma Ingredients
APOLLOHOSP,Apollo Hospitals Enterprise,Pharma & Healthcare,Hospitals
MAXHEALTH,Max Healthcare Institute,Pharma & Healthcare,Hospitals
FORTIS,Fortis Healthcare,Pharma & Healthcare,Hospitals
NH,Narayana Hrudayalaya,Pharma & Healthcare,Hospitals
MEDANTA,Global Health (Medanta),Pharma & Healthcare,Hospitals
KIMS,Krishna Institute of Medical Sciences,Pharma & Healthcare,Hospitals
RAINBOW,Rainbow Children's Medicare,Pharma & Healthcare,Hospitals
ASTERDM,Aster DM Healthcare,Pharma & Healthcare,Hospitals
YATHARTH,Yatharth Hospital & Trauma Care,Pharma & Healthcare,Hospitals
JLHL,Jupiter Life Line Hospitals,Pharma & Healthcare,Hospitals
SHALBY,Shalby,Pharma & Healthcare,Hospitals
LALPATHLAB,Dr. Lal PathLabs,Pharma & Healthcare,Diagnostics
METROPOLIS,Metropolis Healthcare,Pharma & Healthcare,Diagnostics
THYROCARE,Thyrocare Technologies,Pharma & Healthcare,Diagnostics
VIJAYA,Vijaya Diagnostic Centre,Pharma & Healthcare,Diagnostics
KRSNAA,Krsnaa Diagnostics,Pharma & Healthcare,Diagnostics
POLYMED,Poly Medicure,Pharma & Healthcare,Medical Devices & Consumables
TARSONS,Tarsons Products,Pharma & Healthcare,Medical Devices & Consumables
LAXMIDENTL,Laxmi Dental,Pharma & Healthcare,Medical Devices & Consumables
HAL,Hindustan Aeronautics,Capital Goods,Defence
BEL,Bharat Electronics,Capital Goods,Defence
BDL,Bharat Dynamics,Capital Goods,Defence
MAZDOCK,Mazagon Dock Shipbuilders,Capital Goods,Defence
COCHINSHIP,Cochin Shipyard,Capital Goods,Defence
GRSE,Garden Reach Shipbuilders & Engineers,Capital Goods,Defence
DATAPATTNS,Data Patterns (India),Capital Goods,Defence
BEML,BEML,Capital Goods,Defence
SOLARINDS,Solar Industries India,Capital Goods,Defence
ASTRAMICRO,Astra Microwave Products,Capital Goods,Defence
PARAS,Paras Defence and Space Technologies,Capital Goods,Defence
MIDHANI,Mishra Dhatu Nigam,Capital Goods,Defence
ZENTEC,Zen Technologies,Capital Goods,Defence
APOLLO,Apollo Micro Systems,Capital Goods,Defence
MTARTECH,MTAR Technologies,Capital Goods,Defence
ABB,ABB India,Capital Goods,Power T&D Equipment
POWERINDIA,Hitachi Energy India,Capital Goods,Power T&D Equipment
GVT&D,GE Vernova T&D India,Capital Goods,Power T&D Equipment
CGPOWER,CG Power and Industrial Solutions,Capital Goods,Power T&D Equipment
BHEL,Bharat Heavy Electricals,Capital Goods,Power T&D Equipment
TARIL,Transformers and Rectifiers (India),Capital Goods,Power T&D Equipment
VOLTAMP,Voltamp Transformers,Capital Goods,Power T&D Equipment
SCHNEIDER,Schneider Electric Infrastructure,Capital Goods,Power T&D Equipment
SIEMENS,Siemens,Capital Goods,Power T&D Equipment
POLYCAB,Polycab India,Capital Goods,Cables & Wires
KEI,KEI Industries,Capital Goods,Cables & Wires
